Conference	Members	Attendees	Year
2006 Florence	2231.0	2538.0	2006
2007 Chicago	1919.0	1832.0	2007
2008 Melbourne	1526.0	1678.0	2008
2009 San Franciso	2458.0	2509.0	2009
2010 Barcelona	3505.0	3486.0	2010
2011 Quebec City	2380.0	2326.0	2011
2012 Beijing	2320.0	2303.0	2012
2013 Seattle	2474.0	2474.0	2013
2014 Hamburg	3209.0	3225.0	2014
2015 Honolulu	2894.0	2904.0	2015
2016 Geneva	3043.0	3168.0	2016
2017 Vancouver	2776.0	2634.0	2017
2018 Singapore	1208.0	2066.0	2018
2019 Rome	3885.0	4013.0	2019
2020 Virtual	4474.0	3522.0	2020
2021 Virtual	2806.0	2843.0	2021
2022 Glasgow	2948.0	2951.0	2022
